d,license_number,license_status,license_status_date,license_term,license_type,license_designation,issue_date,expiration_date,licensing_authority_id,licensing_authority,business_legal_name,business_dba_name,business_image_url,business_owner_name,business_structure,business_website,activity,premise_street_address,premise_city,premise_state,premise_county,premise_zip_code,business_email,business_phone,parcel_number,premise_latitude,premise_longitude,data_refreshed_date
,DAAA-E1XH-8OMM,,,,Dispensary,,,7/6/2023,,,Budo Bud Dispensary LLC,Budo Bud Dispensary LLC,,,,,,,OKLAHOMA CITY,,Oklahoma,,,,,,,
,GAAA-GOAF-DW0A,,,,Grower,,,7/12/2023,,,Xing Ning LLC,Xing Ning LLC,,,,,,,Morris,,Okmulgee,,,,,35.6988,-95.8183,
,GAAA-BYF1-KAJV,,,,Grower,,,5/26/2024,,,Long-Term LLC,Long-Term LLC,,,,,,,ALVA,,Woods,,,,,,,
,GAAA-4YTE-IU29,,,,Grower,,,10/6/2023,,,3 Brothers Enterprises LLC,3 Brothers Enterprises LLC,,,,,,,GUTHRIE,,Logan,,,,,,,
,GAAA-VYCN-91RQ,,,,Grower,,,5/30/2024,,,ZHENG and LIN BROTHER ENTERPRISE LLC,ZHENG and LIN BROTHER ENTERPRISE LLC,,,,,,,BARNSDALL,,Osage,,,,,,,
,DAAA-4Y3H-R3MX,,,,Dispensary,,,1/12/2024,,,"N Classen 3508, LLC",Xclusive Cannabis OKC Classen,,,,,,,OKLAHOMA CITY,,Oklahoma,,,,,,,
,GAAA-NYNI-MTVD,,,,Grower,,,10/16/2023,,,"Jump-n-Bean Pharms, LLC","Jump-n-Bean Pharms, LLC",,,,,,,MCALESTER,,Pittsburg,,,,,,,
,DAAA-MXQI-ND3Z,,,,Dispensary,,,12/25/2023,,,SIMPLY GROW PHARMS LLC,Simply Grow Pharms LLC #3,,,,,,,DAVIS,,Murray,,,,,,,
,GAAA-PCGG-2MN1,,,,Grower,,,11/29/2023,,,V Farm LLC,V Farm LLC,,,,,,,EDMOND,,Logan,,,,,,,
,DAAA-DD9Z-DTO0,,,,Dispensary,,,11/15/2023,,,"HIDDEN GEMZ DISPENSARY, LLC",HIDDEN GEMZ CANNABIS,,,,,,,Oklahoma City,,Oklahoma,,,,,35.4678,-97.5164,
,DAAA-AHKV-TWQB,,,,Dispensary,,,2/1/2024,,,VLSDCS4 LLC,Fred's Farmacopia LLC,,,,,,,MIDWEST CITY,,Oklahoma,,,,,,,
,DAAA-4YFI-6RW3,,,,Dispensary,,,2/13/2024,,,Indigenous Health Solutions LLC,Indigenous Health Solutions LLC,,,,,,,Newkirk,,Kay,,,,,36.905,-96.9892,
,GAAA-GW8T-YYMR,,,,Grower,,,12/6/2023,,,CannaBaxter Farms LLC,CannaBaxter Farms LLC,,,,,,,PRAGUE,,Pottawatomie,,,,,,,
,DAAA-VJ7M-INSL,,,,Dispensary,,,10/31/2023,,,Eden Rose LLC,Eden Rose Dispensary,,,,,,,OKLAHOMA CITY,,Oklahoma,,,,,,,
,PAAA-VI6P-HICP,,,,Processor,,,11/29/2022,,,High top Harvest,,,,,,,,Chouteau,,Mayes,,,,,36.1621,-95.3462,
,DAAA-NJ6Y-TNWQ,,,,Dispensary,,,5/9/2023,,,Green Mountain Dispensary,Green Mountain Dispensary,,,,,,,CLAREMORE,,Rogers,,,,,,,
,DAAA-VJYO-54OZ,,,,Dispensary,,,8/7/2023,,,66 Dispensary LLC,66 Dispensary LLC,,,,,,,CHANDLER,,Lincoln,,,,,,,
,DAAA-VJLO-J79R,,,,Dispensary,,,11/15/2023,,,"LC Holding Company, LLC",Canopy ReLeaf Dispensary,,,,,,,SAYRE,,Beckham,,,,,,,
,DAAA-KXKX-BDPT,,,,Dispensary,,,11/27/2023,,,NICE LEAF LLC,ZIGGYZ PLUS,,,,,,,YUKON,,Canadian,,,,,,,
,DAAA-NKKD-AYSZ,,,,Dispensary,,,8/9/2023,,,"Poole Farms ll, LLC","Poole Farms ll, LLC",,,,,,,JAY,,Delaware,,,,,,,
,LAAA-MOXZ-FQ1G,,,,Testing Laboratory,,,8/28/2023,,,"Abraxas Labs, LLC","Abraxas Labs, LLC",,,,,,,Tulsa,,Tulsa,,,,,36.1537,-95.9926,
,GAAA-YRLM-YVT9,,,,Grower,,,10/20/2023,,,ZHENG GROUP GARDEN LLC,Zheng Group Garden LLC,,,,,,,ELMORE CITY,,Garvin,,,,,,,
,GAAA-KNIE-TMQ1,,,,Grower,,,9/15/2023,,,"Saechao Farm, LLC","Saechao Farm, LLC",,,,,,,SHADY POINT,,Le Flore,,,,,,,
,GAAA-0XCW-EDUY,,,,Grower,,,11/14/2023,,,J-RAG LLC,J-RAG LLC,,,,,,,LINDSAY,,McClain,,,,,,,
,GAAA-VKKY-Q5IM,,,,Grower,,,7/11/2023,,,Access THC LLC,Access THC,,,,,,,OKLAHOMA CITY,,Oklahoma,,,,,,,
,GAAA-NJWU-PFHK,,,,Grower,,,9/13/2023,,,"ATTITUDE ORGANICS ,LLC",Attitude Organics,,,,,,,Oklahoma City,,Oklahoma,,,,,35.4678,-97.5164,
,GAAA-N13N-BCWR,,,,Grower,,,3/13/2024,,,Infinity Farms Rx Inc,Infinity Farms Rx Inc,,,,,,,Tulsa,,Tulsa,,,,,36.1537,-95.9926,
,GAAA-VBSL-FVLA,,,,Grower,,,11/9/2023,,,JRWC LLC,Canadian Valley Greenhouse,,,,,,,NEWCASTLE,,McClain,,,,,,,
,GAAA-HU2G-CFAI,,,,Grower,,,2/23/2023,,,"Grassland Ranch, LLC",Grassland Ranch,,,,,,,CHANDLER,,Lincoln,,,,,,,
,DAAA-YSZS-AON2,,,,Dispensary,,,10/24/2023,,,SANNNY'S CANNABIS LTD,SANNNY'S CANNABIS,,,,,,,TULSA,,Tulsa,,,,,,,
,GAAA-EYYU-KPOO,,,,Grower,,,2/23/2024,,,Dirl D Burruss,BURRUSS MEAN GREEN,,,,,,,ELGIN,,Comanche,,,,,,,
,GAAA-R0WM-OEEX,,,,Grower,,,10/26/2022,,,BRIGHT GARDEN LLC,BRIGHT GARDEN LLC,,,,,,,NOBLE,,Cleveland,,,,,,,
,GAAA-Z8WS-KB8A,,,,Grower,,,2/1/2023,,,Organically Grown LLC,Organically Grown,,,,,,,SKIATOOK,,Osage,,,,,,,
,DAAA-VYWI-TWLE,,,,Dispensary,,,10/25/2023,,,ADK MANAGEMENT INC,True Herbs Cannabis,,,,,,,OKLAHOMA CITY,,Oklahoma,,,,,,,
,PAAA-8VH5-VRG3,,,,Processor,,,10/25/2023,,,"Sweet Leaf Endeavors Holdings, LLC","Sweet Leaf Endeavors Holdings, LLC",,,,,,,TULSA,,Tulsa,,,,,,,
,TAAA-S6TH-DBW9,,,,Transporter,,,11/13/2023,,,Gray Line Supply,Gray Line Supply,,,,,,,Oklahoma City,,Oklahoma,,,,,35.4678,-97.5164,
,DAAA-0RWI-6K4P,,,,Dispensary,,,8/21/2023,,,"The Lettuce Bar, LLC",The Lettuce Bar,,,,,,,CHOCTAW,,Oklahoma,,,,,,,
,GAAA-NYXE-9BO7,,,,Grower,,,12/5/2023,,,Angel Herbs LLC,"Angel Herbs, LLC",,,,,,,HOWE,,Le Flore,,,,,,,
,DAAA-VYDN-RY7H,,,,Dispensary,,,2/24/2024,,,Sunshine Power LLC,The Joint Cannabis Club,,,,,,,OKLAHOMA CITY,,Oklahoma,,,,,,,
,DAAA-US70-HKIN,,,,Dispensary,,,2/27/2023,,,"GP Industries, LLC",BLOOM Cannabis Co.,,,,,,,Midwest City,,Oklahoma,,,,,,,
,GAAA-EKKH-B9FI,,,,Grower,,,10/20/2022,,,"Delta 9 Research OK, LLC",Majestic Craft Cannabis,,,,,,,MOORE,,Cleveland,,,,,,,
,GAAA-64ZE-16DS,,,,Grower,,,9/26/2023,,,IB Moreland,IB Moreland,,,,,,,ATOKA,,Atoka,,,,,,,
,DAAA-EJI0-2EWD,,,,Dispensary,,,1/13/2024,,,Buds LLC,Buds LLC,,,,,,,LAWTON,,Comanche,,,,,,,
,GAAA-N1QS-K7RN,,,,Grower,,,8/28/2023,,,Green soul llc,Green Soul llc,,,,,,,GRACEMONT,,Caddo,,,,,,,
,GAAA-YRT7-C444,,,,Grower,,,1/11/2024,,,Good Vibes Dispensary LLC,Good Vibes Dispensary LLC,,,,,,,PARK HILL,,Cherokee,,,,,,,
,GAAA-NVWI-1O3Z,,,,Grower,,,12/11/2023,,,The Bud Goat LLC,The Bud Goat LLC,,,,,,,GUTHRIE,,Logan,,,,,,,
,DAAA-6K7N-JKKH,,,,Dispensary,,,9/26/2023,,,The Goat Pharmacy LLC,The Goat Pharmacy LLC,,,,,,,ELDORADO,,Jackson,,,,,,,
,PAAA-FT0P-GSXC,,,,Processor,,,10/26/2023,,,Sacred Solventless LLC,Sacred Solventless,,,,,,,BLANCHARD,,McClain,,,,,,,
,DAAA-41GC-8W1Z,,,,Dispensary,,,4/6/2024,,,KOLI CANNABIS LTD,KOLI CANNABIS RX,,,,,,,CLAREMORE,,Rogers,,,,,,,
,GAAA-EY3A-KFDU,,,,Grower,,,3/31/2024,,,"Noble Cascana, LLC",Noble Cascana LLC,,,,,,,NOBLE,,Cleveland,,,,,,,
,GAAA-RLKY-NUZI,,,,Grower,,,7/17/2022,,,"County Line Gardens, LLC.","County Line Gardens, LLC.",,,,,,,KEOTA,,Le Flore,,,,,,,
,DAAA-VJRV-CUIL,,,,Dispensary,,,12/4/2023,,,"House of Cannabis OK, INC","House of Cannabis OK, INC",,,,,,,BROKEN ARROW,,Tulsa,,,,,,,
,GAAA-4KGA-L44F,,,,Grower,,,12/4/2023,,,Deel Medical Cannibus Farms,Deel Medical Cannibus Farms,,,,,,,BOKOSHE,,Le Flore,,,,,,,
,GAAA-7P9W-GACM,,,,Grower,,,11/7/2023,,,"Green Dynasty, LLC",Green Dynasty,,,,,,,AGRA,,Lincoln,,,,,,,
,DAAA-SHUX-UJWL,,,,Dispensary,,,9/15/2023,,,Smokey Joes Dispensary LLC,Smokey Joes Dispensary LLC,,,,,,,MANNFORD,,Creek,,,,,,,
,DAAA-VKBL-RNSX,,,,Dispensary,,,12/11/2023,,,"Green-Go Cannabis Club, LLC","Green Go Cannabis Club, LLC",,,,,,,PERRY,,Noble,,,,,,,
,GAAA-1YKM-17LF,,,,Grower,,,2/1/2024,,,Generations 4 green LLC,Generations4green,,,,,,,TULSA,,Tulsa,,,,,,,
,PAAA-DUHO-9ON0,,,,Processor,,,12/26/2023,,,Big Boyz Extracts LLC,Big Boyz Extracts LLC,,,,,,,FLETCHER,,Comanche,,,,,,,
,DAAA-EJOM-K3EH,,,,Dispensary,,,5/5/2023,,,BUD BARN LLC,BUD BARN,,,,,,,MARLOW,,Stephens,,,,,,,
,LAAA-NYWH-5XOE,,,,Testing Laboratory,,,7/3/2024,,,405 Analytical LLC,405 Analytical LLC,,,,,,,MIDWEST CITY,,Oklahoma,,,,,,,
,GAAA-HWLI-KNEI,,,,Grower,,,3/17/2024,,,SJ Family Enterprise LLC,SJ Family Enterprise LLC,,,,,,,SHAWNEE,,Pottawatomie,,,,,,,
,PAAA-3FI7-4LYE,,,,Processor,,,12/13/2023,,,"Green Science Extracts, LLC","Green Science Extracts, LLC",,,,,,,CHELSEA,,Rogers,,,,,,,
,DAAA-OOTS-CHNH,,,,Dispensary,,,12/13/2022,,,The Flower Shop Plus,The Flower Shop Plus,,,,,,,HENRYETTA,,Okmulgee,,,,,,,
,GAAA-PAL8-VODS,,,,Grower,,,11/7/2023,,,Healthy Farm LLC,Healthy Farm LLC,,,,,,,AFTON,,Ottawa,,,,,,,
,DAAA-4JSX-MTQN,,,,Dispensary,,,8/4/2023,,,Altcare 10 LLC,Fire Leaf 10,,,,,,,THE VILLAGE,,Oklahoma,,,,,,,
,DAAA-411O-LZFY,,,,Dispensary,,,12/12/2023,,,Ten Hippies LLC,Ten Hippies Dispensary,,,,,,,PAULS VALLEY,,Garvin,,,,,,,
,GAAA-AXCM-8ZYR,,,,Grower,,,3/2/2024,,,"Holistic Heights Farms, LLC","Holistic Heights Farms, LLC",,,,,,,Strang,,Mayes,,,,,36.4436,-95.0875,
,DAAA-V1JI-JANA,,,,Dispensary,,,10/5/2023,,,Bud Brothers Coughy Shop LLC,"Bud Brothers Coughy Shop, LLC",,,,,,,BARTLESVILLE,,Washington,,,,,,,
,GAAA-HLFI-X7KF,,,,Grower,,,7/3/2023,,,4T PEORIA LLC,4T PEORIA LLC,,,,,,,BIXBY,,Tulsa,,,,,,,
,GAAA-HPFN-W2PH,,,,Grower,,,11/15/2023,,,Jade Eagle LLC,Jade Eagle LLC,,,,,,,GORE,,Sequoyah,,,,,,,
,TAAA-P3BL-G1KH,,,,Transporter,,,5/24/2024,,,Erik Cousins,Erik Cousins,,,,,,,Meeker,,Lincoln,,,,,35.5215,-96.9642,
,DAAA-EYYY-O7B8,,,,Dispensary,,,10/12/2023,,,"FPC Group, LLC",Vertical Vibez,,,,,,,LAWTON,,Comanche,,,,,,,
,PAAA-F33K-N2SS,,,,Processor,,,5/24/2024,,,LITERALLY PROCESSING LLC,LITERALLY PROCESSING LLC,,,,,,,OWASSO,,Tulsa,,,,,,,
,GAAA-VYG6-EFTO,,,,Grower,,,6/14/2023,,,3 Budz Growery LLC,3 Budz Growery LLC,,,,,,,Mcalester,,Pittsburg,,,,,34.9528,-95.7997,
,GAAA-4JSW-CWNN,,,,Grower,,,4/21/2024,,,RBR Growers Inc.,RBR GROWERS INC.,,,,,,,EDMOND,,Logan,,,,,,,
,GAAA-MYU4-MH6V,,,,Grower,,,10/18/2023,,,"Hedonist Buds, LLC","Hedonist Buds, LLC",,,,,,,NOWATA,,Nowata,,,,,,,
,PAAA-4KW8-WFOB,,,,Processor,,,2/11/2024,,,ABP Farms LLC,ABP Farms LLC,,,,,,,MIDWEST CITY,,Oklahoma,,,,,,,
,DAAA-4WRG-44QV,,,,Dispensary,,,10/16/2022,,,Dancing Budz,Dancing Budz,,,,,,,PRYOR,,Mayes,,,,,,,
,GAAA-IJ7I-MB8O,,,,Grower,,,5/17/2023,,,4T GREENFIELD LLC,4T GREENFIELD LLC,,,,,,,NOBLE,,Cleveland,,,,,,,
,PAAA-LVR7-6FB9,,,,Processor,,,2/1/2024,,,Oklahoma Native Roots Processing LLC,Oklahoma Native Roots Processing,,,,,,,duncan,,Stephens,,,,,,,
,PAAA-4Y37-KENI,,,,Processor,,,8/11/2023,,,"D & D Processing, LLC","D & D Processing, LLC",,,,,,,KINGSTON,,Marshall,,,,,,,
,GAAA-VYPF-TIGY,,,,Grower,,,10/16/2023,,,"Premium Agriculture, LLC",Premium Agriculture LLC,,,,,,,OKLAHOMA CITY,,Oklahoma,,,,,,,
,DAAA-BIS7-OSV8,,,,Dispensary,,,11/22/2023,,,BILLY'S BUDZ INC,BILLY'S BUDZ,,,,,,,NOWATA,,Nowata,,,,,,,
,GAAA-Y0MP-TNHT,,,,Grower,,,10/24/2023,,,Grassfire Growco Inc.,Grassfire Growco Inc.,,,,,,,Skiatook,,Osage,,,,,36.373,-96.0771,
,DAAA-EJD3-JPKQ,,,,Dispensary,,,8/7/2023,,,Rosemary Farms LLC,Rosebuds Dispensary,,,,,,,NOWATA,,Nowata,,,,,,,
,PAAA-E14G-M1XX,,,,Processor,,,6/21/2023,,,Honey Creek Labs LLC,Honey Creek Labs LLC,,,,,,,GROVE,,Delaware,,,,,,,
,DAAA-PJMP-XGLX,,,,Dispensary,,,6/29/2024,,,Karmaceuticals LLC,Karmaceuticals LLC,,,,,,,BLANCHARD,,McClain,,,,,,,
,GAAA-VK6Q-LUB9,,,,Grower,,,8/22/2023,,,Annie's Pharm LLC,Annie's Pharm LLC,,,,,,,CAMERON,,Le Flore,,,,,,,
,GAAA-XQGE-LYOZ,,,,Grower,,,10/24/2023,,,Honeybee Cultivation LLC,Honeybee Cultivation LLC,,,,,,,HARRAH,,Oklahoma,,,,,,,
,DAAA-N1MR-QH4Z,,,,Dispensary,,,4/18/2024,,,"Brothers Retail 1, LLC",Prestige Cannabis,,,,,,,EDMOND,,Oklahoma,,,,,,,
,GAAA-EFDU-2EZP,,,,Grower,,,7/25/2023,,,Lisa Tran LLC,Lisa Tran LLC,,,,,,,TULSA,,Creek,,,,,,,
,DAAA-AJX5-SYEJ,,,,Dispensary,,,4/18/2024,,,Left-Handed Partners LLC,Burning Arrow,,,,,,,THACKERVILLE,,Love,,,,,,,
,DAAA-V1GW-MCIP,,,,Dispensary,,,11/20/2023,,,"Rising Altitude, LLC",Craft Cannabis Company,,,,,,,OKLAHOMA CITY,,Cleveland,,,,,,,
,DAAA-EKXF-7ICH,,,,Dispensary,,,2/21/2024,,,HW BASS LLC,Green Buffalo Dispensary #1,,,,,,,NORMAN,,Cleveland,,,,,,,
,DAAA-Y5MO-IQTR,,,,Dispensary,,,8/9/2023,,,"M. Joy, LLC","M. Joy, LLC",,,,,,,Enid,,Garfield,,,,,36.4053,-97.8187,
,GAAA-4YMA-KEDI,,,,Grower,,,11/13/2023,,,"Integrated Creative Investments, LLC",Flower Moon Farms,,,,,,,BURBANK,,Osage,,,,,,,
,PAAA-EYN1-MH5R,,,,Processor,,,2/1/2024,,,"Red River Labs, LLC","Red River Labs, LLC",,,,,,,Norman,,Cleveland,,,,,35.2227,-97.4395,
,GAAA-CSTN-SWU8,,,,Grower,,,1/3/2024,,,"Seldom Rest Farms, LLC",Seldom Rest Farms,,,,,,,Saint Louis,,Pottawatomie,,,,,35.0593,-96.8444,
,GAAA-APUS-97LV,,,,Grower,,,6/15/2023,,,"Jindavanh Farms, LLC","Jindavanh Farms, LLC",,,,,,,NOBLE,,Cleveland,,,,,,,
,GAAA-HQQ8-QZ8J,,,,Grower,,,9/15/2023,,,KNIGHTLY FARMS LLC,KNIGHTLY FARMS LLC,,,,,,,Enid,,Garfield,,,,,36.4053,-97.8187,
,PAAA-NYM7-9NUN,,,,Processor,,,4/10/2024,,,CALI-PURE LLC,DAB DADDY'S,,,,,,,LAMAR,,Hughes,,,,,,,
,DAAA-QNMM-5K6M,,,,Dispensary,,,12/18/2023,,,Captain Kush Cannabis LLC,Captain Kush Cannabis LLC,,,,,,,DEL CITY,,Oklahoma,,,,,,,
,DAAA-ZKEK-KBOL,,,,Dispensary,,,10/10/2023,,,Pretty Flower 1818 LLC,LITTLE YEZI,,,,,,,EDMOND,,Oklahoma,,,,,,,
,DAAA-HHFM-JBZS,,,,Dispensary,,,11/15/2023,,,"CPS Dispensary, LLC","CPS Dispensary, LLC",,,,,,,SHAWNEE,,Pottawatomie,,,,,,,
,GAAA-0DHI-02PY,,,,Grower,,,2/17/2024,,,"Super Punchy Buds, LLC","Super Punchy Buds, LLC",,,,,,,OKEENE,,Blaine,,,,,,,
,PAAA-LY5F-QNKV,,,,Processor,,,10/2/2023,,,"NCanna, LLC","NCanna, LLC",,,,,,,CLINTON,,Custer,,,,,,,
,DAAA-NKWE-9IBZ,,,,Dispensary,,,7/5/2023,,,RE-UP LLC,RE-UP LLC,,,,,,,MUSKOGEE,,Tulsa,,,,,,,
,GAAA-N1GI-IKTU,,,,Grower,,,8/31/2023,,,"RXR Remedies, LLC",RXR Remedies llc,,,,,,,INOLA,,Rogers,,,,,,,
,GAAA-PNQW-6NJG,,,,Grower,,,2/1/2023,,,Wanderlust Medicinals LLC,Wanderlust Medicinals,,,,,,,Bristow,,Creek,,,,,35.8209,-96.3819,
,DAAA-EJZP-ONQS,,,,Dispensary,,,3/7/2023,,,MPCubed LLC,MPCubed Medical,,,,,,,Stillwater,,Payne,,,,,36.08,-97.0694,
,GAAA-5ACO-6UKW,,,,Grower,,,2/1/2024,,,Green Road LLC,Green Road LLC,,,,,,,Sweetwater,,Roger Mills,,,,,35.4237,-99.881,
,DAAA-NJSX-CTXV,,,,Dispensary,,,5/19/2024,,,Cannabis Trade Company LLC.,Cannabis Trade Company LLC,,,,,,,WILSON,,Carter,,,,,,,
,DAAA-VYTX-HIOJ,,,,Dispensary,,,11/29/2023,,,NATIVE BROTHERS CBD and DISPENSARY LLC,NATIVE BROTHERS CBD and DISPENSARY LLC,,,,,,,OKLAHOMA CITY,,Oklahoma,,,,,,,
,GAAA-M1ES-Q17K,,,,Grower,,,7/18/2023,,,Scratchout Growers,dba Scratchout Growers,,,,,,,Muldrow,,Sequoyah,,,,,35.3774,-94.6731,
,DAAA-JJXZ-X5R0,,,,Dispensary,,,12/26/2023,,,True High Cannabis LLC,True High Cannabis LLC,,,,,,,Hominy,,Osage,,,,,36.384,-96.3799,
,DAAA-PEWH-NDGY,,,,Dispensary,,,1/13/2024,,,WRIGHT WAY ENTERPISES LLC,TREEHOUSE DISPENSARY 32,,,,,,,MUSKOGEE,,Muskogee,,,,,,,
,DAAA-V1YC-GWUP,,,,Dispensary,,,3/21/2023,,,U Citizenz Ltd. Co,Grade A Dispensary,,,,,,,OKLAHOMA CITY,,Oklahoma,,,,,,,
,GAAA-P5VP-QGDE,,,,Grower,,,2/1/2024,,,Zhongxing LLC,Zhongxing LLC,,,,,,,FOSS,,Washita,,,,,,,
,GAAA-0FYD-BH1I,,,,Grower,,,10/12/2023,,,PALEE FARMS LLC,PALEE FARMS LLC,,,,,,,SAYRE,,Beckham,,,,,,,
,GAAA-2MH7-LTQM,,,,Grower,,,8/17/2023,,,"Green Bonnet Pharms, LLC",Green Bonnet Pharms,,,,,,,Cartwright,,Bryan,,,,,33.8787,-96.5803,
,GAAA-LNOK-ODYV,,,,Grower,,,12/12/2023,,,Vientiane420 LLC,BRUCEV FARM,,,,,,,Gore,,Sequoyah,,,,,35.533,-95.0887,
,TAAA-JVX8-HBXA,,,,Transporter,,,5/10/2024,,,"Back 40 Investments, LLC",Redbilly Brand,,,,,,,MIDWEST CITY,,Oklahoma,,,,,,,
,PAAA-4YSL-V312,,,,Processor,,,11/20/2023,,,"Southern Plains Processing, LLC","Southern Plains Processing, LLC",,,,,,,APACHE,,Caddo,,,,,,,
,GAAA-NKOP-SLVM,,,,Grower,,,1/2/2023,,,Happy Hippies Garden,Happy Hippies Garden,,,,,,,Eucha,,Delaware,,,,,36.3906,-94.8903,
,GAAA-VJC6-JWDH,,,,Grower,,,5/10/2023,,,Cloudi Mornings Growers LLC,Cloudi Mornings Growers LLC,,,,,,,BROKEN ARROW,,Tulsa,,,,,,,
,DAAA-NJ3F-ZGXK,,,,Dispensary,,,4/27/2024,,,NFUZE LLC,NFuze at Grove,,,,,,,Grove,,Delaware,,,,,36.5705,-94.7335,
,PAAA-R6DY-FZPD,,,,Processor,,,1/12/2023,,,Red River Ranch,Red River Ranch Processing,,,,,,,THACKERVILLE,,Love,,,,,,,
,DAAA-ZAB7-HZF0,,,,Dispensary,,,9/14/2023,,,Fire up dispensary llc,Fire Up,,,,,,,OKLAHOMA CITY,,Oklahoma,,,,,,,
,GAAA-V1RM-IOFC,,,,Grower,,,6/9/2023,,,Oklahoma Genetics and Extracts LLC,"Oklahoma Genetics and Extracts, LLC",,,,,,,OKLAHOMA CITY,,Oklahoma,,,,,,,
,DAAA-4YRN-7QGY,,,,Dispensary,,,4/11/2024,,,GDTRFB Holdings LLC,Lovelight CC,,,,,,,TULSA,,Tulsa,,,,,,,
,DAAA-N1A8-1TRU,,,,Dispensary,,,12/10/2023,,,Hazy Daisy Inc,Lit Decisionz,,,,,,,OKLAHOMA CITY,,Oklahoma,,,,,,,
,PAAA-DP83-ASUT,,,,Processor,,,10/31/2022,,,"Chillax Holdings, LLC.",Chillax Brands,,,,,,,Tulsa,,Tulsa,,,,,36.1537,-95.9926,
,GAAA-TMU8-AQFP,,,,Grower,,,4/4/2024,,,"Johnny's Green Hill, LLC","Johnny's Green Hill, LLC",,,,,,,AFTON,,Delaware,,,,,,,
,GAAA-SMZN-YLPP,,,,Grower,,,11/22/2023,,,DOH Premier Products LLC,DOH Premier Products LLC,,,,,,,Norman,,Cleveland,,,,,35.2227,-97.4395,
,GAAA-DK3J-6DS4,,,,Grower,,,2/1/2024,,,"Green Country Collaborative, LLC","Green Country Collaborative, LLC",,,,,,,HASKELL,,Muskogee,,,,,,,
,DAAA-WARL-6IA6,,,,Dispensary,,,7/6/2023,,,"Iconic Smoke, LLC","Iconic Smoke, LLC",,,,,,,Roff,,Pontotoc,,,,,34.5931,-96.7835,
,GAAA-XQDO-GJBF,,,,Grower,,,8/21/2023,,,"Tiger Leaf Cannabis, LLC",Ad Astra Micro Grows,,,,,,,TULSA,,Tulsa,,,,,,,
,GAAA-GV8H-X2RV,,,,Grower,,,6/20/2023,,,"Honey Pot Ranch, LLC","Honey Pot Ranch, LLC",,,,,,,MACOMB,,Pottawatomie,,,,,,,
,GAAA-JQPT-X4DF,,,,Grower,,,10/2/2022,,,Wasa LLC,Wasa LLC,,,,,,,Bethany,,Oklahoma,,,,,35.5186,-97.6451,
,GAAA-ADMJ-J1AK,,,,Grower,,,6/16/2023,,,"GHR Holding, LLC",Harmony Grove,,,,,,,OKLAHOMA CITY,,Oklahoma,,,,,,,
,GAAA-NJSJ-GCJU,,,,Grower,,,4/13/2024,,,Bermuda Bob's Bud House L.L.C.,Bob's Bud House,,,,,,,Fort Gibson,,Muskogee,,,,,35.8025,-95.1938,
,GAAA-EJHH-ZEZH,,,,Grower,,,12/9/2023,,,Twisted Root Harvesting Company LLC,Twisted Root Harvesting Company LLC,,,,,,,MARIETTA,,Love,,,,,,,
,PAAA-4YG4-J4SB,,,,Processor,,,11/9/2022,,,Fuego Premium Extracts LLC,Fuego Premium Extracts LLC,,,,,,,SAPULPA,,Creek,,,,,,,
,GAAA-NJQQ-GMNQ,,,,Grower,,,4/10/2023,,,Vibrant Choice LLC,Vibrant Choice LLC,,,,,,,Rose,,Cherokee,,,,,36.2233,-94.9972,
,GAAA-VNNP-HHTZ,,,,Grower,,,6/12/2023,,,Hard Buds Farm LLC,Hard Buds Farm LLC,,,,,,,TULSA,,Tulsa,,,,,,,
,DAAA-8HUZ-F2AY,,,,Dispensary,,,12/14/2023,,,TSI Limited Liability Company,Atlas Organics,,,,,,,STILLWATER,,Payne,,,,,,,
,GAAA-LPQM-NYWZ,,,,Grower,,,5/24/2023,,,"Family Grown, LLC","Family Grown, LLC",,,,,,,JAY,,Delaware,,,,,,,
,GAAA-8AYD-9RYG,,,,Grower,,,2/15/2024,,,"Red Beard's Garden, LLC","Red Beard's Garden, LLC",,,,,,,COYLE,,Logan,,,,,,,
,GAAA-KSG1-MMIM,,,,Grower,,,11/14/2023,,,"PureGreen Cultivation, LLC","PureGreen Cultivation, LLC",,,,,,,SPIRO,,Le Flore,,,,,,,
,DAAA-MNXY-64N4,,,,Dispensary,,,10/18/2023,,,SAVANT CANNABIS LLC,SAVANT CANNABIS,,,,,,,TULSA,,Tulsa,,,,,,,
,DAAA-NJ6O-VSPK,,,,Dispensary,,,2/27/2024,,,Christopher Woodall,31 cannabis,,,,,,,Krebs,,Pittsburg,,,,,34.9255,-95.7216,
,DAAA-A7R2-5OFP,,,,Dispensary,,,5/10/2024,,,"AF Enterprises, LLC",Reefer Madness Hybrids,,,,,,,SALLISAW,,Sequoyah,,,,,,,
,PAAA-VJBW-ZXS2,,,,Processor,,,12/23/2023,,,Bee's Knees Dispensary LLC,BEE'S KNEES DISPENSARY LLC,,,,,,,DUNCAN,,Stephens,,,,,,,
,GAAA-NG5M-JBDU,,,,Grower,,,3/13/2024,,,OG Greenhouse LLC,OG Greenhouse,,,,,,,HULBERT,,Cherokee,,,,,,,
,GAAA-T5WX-N6OK,,,,Grower,,,11/22/2023,,,"JMPETERS Enterprises, LLC",JMPeters Enterprises,,,,,,,MACOMB,,Pottawatomie,,,,,,,
,DAAA-EJAC-YFBQ,,,,Dispensary,,,10/23/2023,,,"The Bud Shop, Inc.",The Bud Shop,,,,,,,ROLAND,,Sequoyah,,,,,,,
